ResourceName,ResourceId,ResourceType,ResourceGroup,Region,EstimatedSavings,RecommendedAction
vmwcusdba01_userdbs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-dba-core-rg01/providers/microsoft.compute/disks/vmwcusdba01_userdbs,microsoft.compute/disks,wcus-prod-dba-core-rg01,,,Change tier from 'P1 LRS Disk' to 'E1 LRS Disk'
vmwcusdba01_userlogs,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-prod-dba-core-rg01/providers/microsoft.compute/disks/vmwcusdba01_userlogs,microsoft.compute/disks,wcus-prod-dba-core-rg01,,,Change tier from 'P1 LRS Disk' to 'E1 LRS Disk'
tigerwoodaz-datadisk-001-20260113-215044,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/tigerwoodaz-datadisk-001-20260113-215044,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
tigerwoodaz-datadisk-006-20260113-215044,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/tigerwoodaz-datadisk-006-20260113-215044,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P40 LRS Disk' to 'E40 LRS Disk'
anteriadfwprod-datadisk,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadfwprod/providers/microsoft.compute/disks/anteriadfwprod-datadisk,microsoft.compute/disks,anteriadfwprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
seabeam-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/seabeam-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
apple-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/apple-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
banyan_osdisk_1_10b938c9de574a44968a66f239958d4a,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/banyan_osdisk_1_10b938c9de574a44968a66f239958d4a,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
mango_osdisk_1_3216a8c64fa742feb8d8f3596d41774a,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mango_osdisk_1_3216a8c64fa742feb8d8f3596d41774a,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
maple-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/maple-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
datamart10-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart10-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
vmweastnetdc01_osdisk_1_07adfe9d3df941c2aa3383f8d6769823,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/vmweastnetdc01_osdisk_1_07adfe9d3df941c2aa3383f8d6769823,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
datamart2test-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/datamart2test-osdisk-00,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
ninmada-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/ninmada-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
elderberry-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/elderberry-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
sassafras_osdisk_1_0c9b27fc98e14c578534283eac062616,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/sassafras_osdisk_1_0c9b27fc98e14c578534283eac062616,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
iasandbox_osdisk_1_2293ce9fb2444adf95a7021ba827134b,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/iasandbox_osdisk_1_2293ce9fb2444adf95a7021ba827134b,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmweastdmzdc01_osdisk_1_b9fa1843d5274d4da3a71ee0cabf4ab4,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/vmweastdmzdc01_osdisk_1_b9fa1843d5274d4da3a71ee0cabf4ab4,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
testdapp-reports-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/testdapp-reports-osdisk-00,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
lime_osdisk_1_aded19d37fed4ac391a11af433e807ca,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/lime_osdisk_1_aded19d37fed4ac391a11af433e807ca,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
walnut-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/walnut-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
dataiku-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/dataiku-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
datamart3-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart3-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P20 LRS Disk' to 'E20 LRS Disk'
sal_osdisk_1_582390e254484278b861b4f43f5b84de,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/sal_osdisk_1_582390e254484278b861b4f43f5b84de,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
linden_osdisk_1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-storage-01/providers/microsoft.compute/disks/linden_osdisk_1,microsoft.compute/disks,rg-wcus-p-storage-01,,,Change tier from 'P20 LRS Disk' to 'E20 LRS Disk'
vmwcushnetdc01_osdisk_1_576b5e89590641a299b0b3b5a564b83f,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushnetdc01_osdisk_1_576b5e89590641a299b0b3b5a564b83f,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmwcushnetdc02_osdisk_1_618c0a9993974639aad12f7f5678f0f4,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-h-compute-01/providers/microsoft.compute/disks/vmwcushnetdc02_osdisk_1_618c0a9993974639aad12f7f5678f0f4,microsoft.compute/disks,rg-wcus-h-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmwcushapps01_osdisk_1_fb9e48ec9b494ca9bde97f9927df9d23,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/vmwcushapps01_osdisk_1_fb9e48ec9b494ca9bde97f9927df9d23,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
datamart2az_osdisk_1_e01ee87cfb3c4e0aabbd2edead893ab1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/datamart2az_osdisk_1_e01ee87cfb3c4e0aabbd2edead893ab1,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
mrtdatamart2az_osdisk_1_c3712f8b06714fc584b49b07bea60a2f,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart2az_osdisk_1_c3712f8b06714fc584b49b07bea60a2f,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
dd-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-a-compute-01/providers/microsoft.compute/disks/dd-osdisk-00,microsoft.compute/disks,rg-wcus-a-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
hd-dapp-reports-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-a-compute-01/providers/microsoft.compute/disks/hd-dapp-reports-osdisk-00,microsoft.compute/disks,rg-wcus-a-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
wolffish-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-a-compute-01/providers/microsoft.compute/disks/wolffish-osdisk-00,microsoft.compute/disks,rg-wcus-a-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
thomagataaz_osdisk_1_341d1390c0e1467a8e0d145a8f1fa487,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/thomagataaz_osdisk_1_341d1390c0e1467a8e0d145a8f1fa487,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
meritanalyticsaz_osdisk_1_f43b7f5ae4c34e7aa19ea5fd66e3bfda,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/meritanalyticsaz_osdisk_1_f43b7f5ae4c34e7aa19ea5fd66e3bfda,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
spot-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/spot-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
dev-elderberry_osdisk_1_3108fd3dfb53476ca8180050f38ff53c,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/wcus-dev-pmd-vm01/providers/microsoft.compute/disks/dev-elderberry_osdisk_1_3108fd3dfb53476ca8180050f38ff53c,microsoft.compute/disks,wcus-dev-pmd-vm01,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmweastmddc02_disk1_cec6b65af8f1400d84f91491e673b9e1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/vmweastmddc02_disk1_cec6b65af8f1400d84f91491e673b9e1,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmweastmddc01_disk1_036bd8b2069c4c72b83c75e37214f8e1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/vmweastmddc01_disk1_036bd8b2069c4c72b83c75e37214f8e1,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
mdw1014res-osdisk-20251227-070633,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/mdw1014res-osdisk-20251227-070633,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
ssgcobrares-osdisk-20251227-064640,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/ssgcobrares-osdisk-20251227-064640,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P20 LRS Disk' to 'E20 LRS Disk'
mdsql02-osdisk-20251227-182427,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/anteriadryebrookprod/providers/microsoft.compute/disks/mdsql02-osdisk-20251227-182427,microsoft.compute/disks,anteriadryebrookprod,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
firstlogic-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/firstlogic-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P15 LRS Disk' to 'E15 LRS Disk'
empress-whsp-osdisk-00,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/empress-whsp-osdisk-00,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
mrtdatamart1az_osdisk_1_3c63d9392b814dff8d30864357626cf1,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/mrtdatamart1az_osdisk_1_3c63d9392b814dff8d30864357626cf1,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmwcusvdi-whs_osdisk_1_6b37b7dd258341f994e95ed328cb5b05,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-p-compute-01/providers/microsoft.compute/disks/vmwcusvdi-whs_osdisk_1_6b37b7dd258341f994e95ed328cb5b05,microsoft.compute/disks,rg-wcus-p-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
wcusdevitvm02_osdisk_1_aca2e4d12d1b438a8be584c7776103fa,/subscriptions/5bd14da6-65ef-41c8-88ce-663170a1d6ff/resourcegroups/rg-wcus-d-compute-01/providers/microsoft.compute/disks/wcusdevitvm02_osdisk_1_aca2e4d12d1b438a8be584c7776103fa,microsoft.compute/disks,rg-wcus-d-compute-01,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
alps_p30stripe2,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe2,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_p30stripe6,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe6,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_p30stripe7,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe7,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_p30stripe3,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe3,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_sql_log,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_sql_log,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_p30stripe4,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe4,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_p30stripe5,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe5,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_p30stripe1,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_p30stripe1,microsoft.compute/disks,meriteuprod,,,Change tier from 'P30 LRS Disk' to 'E30 LRS Disk'
alps_database1,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps_database1,microsoft.compute/disks,meriteuprod,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
scandinavianres-osdisk-20251226-222154,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/scandinavianres-osdisk-20251226-222154,microsoft.compute/disks,meriteuprod,,,Change tier from 'E10 LRS Disk' to 'S10 LRS Disk'
alps-osdisk-20251227-014001,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps-osdisk-20251227-014001,microsoft.compute/disks,meriteuprod,,,Change tier from 'E20 LRS Disk' to 'S20 LRS Disk'
alps-datadisk-000-20251227-014001,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/alps-datadisk-000-20251227-014001,microsoft.compute/disks,meriteuprod,,,Change tier from 'P50 LRS Disk' to 'E50 LRS Disk'
dolomitesres-osdisk-20251227-003319,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/dolomitesres-osdisk-20251227-003319,microsoft.compute/disks,meriteuprod,,,Change tier from 'E10 LRS Disk' to 'S10 LRS Disk'
pyreneesres-osdisk-20251227-002723,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/pyreneesres-osdisk-20251227-002723,microsoft.compute/disks,meriteuprod,,,Change tier from 'E10 LRS Disk' to 'S10 LRS Disk'
carpathianres-osdisk-20251227-182131,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/carpathianres-osdisk-20251227-182131,microsoft.compute/disks,meriteuprod,,,Change tier from 'E10 LRS Disk' to 'S10 LRS Disk'
vmweumddc01_osdisk_1_0684465199bc4d6084cc4aa1107a4709,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweumddc01_osdisk_1_0684465199bc4d6084cc4aa1107a4709,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmweudmzdc01_osdisk_1_c1a369be48c9487b9d06e339b9be8abb,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweudmzdc01_osdisk_1_c1a369be48c9487b9d06e339b9be8abb,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmweunetdc01_osdisk_1_e80e2746f2964ae5a5560a37454fff76,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweunetdc01_osdisk_1_e80e2746f2964ae5a5560a37454fff76,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmweudeudc001_osdisk_1_e1ec9ec0c1bf4730bb410a6ff9c4b1aa,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweudeudc001_osdisk_1_e1ec9ec0c1bf4730bb410a6ff9c4b1aa,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmweudeudc002_osdisk_1_94a54ed2663747a48258adb76df6203b,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweudeudc002_osdisk_1_94a54ed2663747a48258adb76df6203b,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'E10 LRS Disk'
vmweudeudc02res-osdisk-20251226-202640,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweudeudc02res-osdisk-20251226-202640,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
vmweudeudc01res-osdisk-20251226-205157,/subscriptions/348c3a20-66f6-421a-b21c-97bb55449b11/resourcegroups/meriteuprod/providers/microsoft.compute/disks/vmweudeudc01res-osdisk-20251226-205157,microsoft.compute/disks,meriteuprod,,,Change tier from 'P10 LRS Disk' to 'S10 LRS Disk'
